	MSG	iNP-MSG	Qcut	iNP-Qcut	SC	iNP-SC
A	0.601	0.806585859	0.810635135	0.810636364	0.810636364	0.810635135
A	0.589	0.589	0.687862846	0.691716707	0.691716707	0.687862846
A	0.806	1	0.996038835	1	1	0.996038835
A	0.725644951	0.990210119	0.893985915	0.897	0.897	0.893985915
A	0.818	0.958	0.996095238	0.996095238	0.996095238	0.996095238
A	0.657	0.98453851	0.818215686	0.919097649	0.821	0.944589827
A	0.665	0.665	0.791	0.791	0.791	0.791
A	0.502	0.996026393	0.699727494	0.699727494	0.699727494	0.934810163
A	0.719043478	0.719043478	0.81800527	0.824638268	0.824638268	0.81800527
A	0.720317798	0.720317798	0.77111974	0.724370126	0.724370126	0.669095237
A	0.843	1	1	1	1	1
A	0.821	0.835235955	0.972228334	0.923820225	0.996044944	0.972228334
A	0.731	0.731	0.731	0.731	0.731	0.731
A	0.701647215	0.701647215	0.852025603	0.756234266	0.884129854	0.806025603
A	0.597124834	0.730763022	0.896356252	0.750887512	0.781416279	0.896356252
A	0.620390558	0.620390558	0.781215758	0.779042254	0.779042254	0.781215758
A	0.877	1	0.992235294	0.998014706	0.998014706	0.992235294
A	0.737	0.737	0.737	0.737	0.737	0.737
A	0.709696296	0.709696296	0.815421053	0.792515112	0.815830902	0.720018687
A	0.720665049	0.988143168	0.982558647	1	1	0.982558647
A	0.775136735	0.775136735	0.923418292	0.994033418	0.994033418	0.923418292
A	0.849115108	0.849115108	0.852036232	0.855	0.855	0.852036232
A	0.875442857	0.875442857	0.875442857	0.875442857	0.875442857	0.875442857
A	0.756	0.912	1	1	1	1
A	0.757	0.757	0.862228571	0.817214286	0.868014286	0.814428571
A	0.741769811	0.885556522	0.838018519	0.84	0.84	0.838018519
A	0.72	0.804	0.888022233	0.890011364	0.890011364	0.888022233
A	0.79428345	0.79428345	0.954039416	0.982301091	0.982301091	0.954039416
A	0.733	0.892945205	0.978342466	0.927794521	0.982123288	0.927136986
A	0.728367568	0.728367568	0.78266276	0.783273292	0.783273292	0.78266276
A	0.728599338	0.813599338	0.7845	0.784	0.784	0.7845
A	0.763	0.763	0.763	0.763	0.763	0.763
A	0.880459459	0.880459459	0.872403714	0.880459459	0.880459459	0.872403714
A	0.658	0.658	0.757	0.757	0.757	0.757
A	0.768	0.992100014	0.883	0.883	0.883	0.883
A	0.885	1	1	1	1	1
A	0.755	0.755	0.755	0.755	0.755	0.755
A	0.74	0.996014456	0.864483636	0.864483636	0.864483636	0.864483636
A	0.696	0.998008772	0.886	0.886	0.886	0.886
A	0.687	0.908	0.898722222	1	0.908	0.932548387
A	0.895865546	0.996029197	0.998007299	0.895433333	0.895433333	0.998007299
A	0.741	0.906	0.906	0.998010638	0.998010638	0.906
A	0.631716243	0.631716243	0.747065041	0.744328468	0.744328468	0.747065041
A	0.728468918	0.728468918	0.936913493	0.994043668	0.994043668	0.936913493
A	0.82	0.82	0.98836	1	1	0.98836
A	0.649	0.649	0.789263804	0.792	0.792	0.789263804
A	0.594182203	0.992080691	0.990138776	0.994046445	0.994046445	0.990138776
A	0.65	0.65	0.957883811	0.996033898	0.996033898	0.957883811
A	0.794	0.891	0.891	0.891	0.891	0.891
A	0.686670306	0.935945588	0.783	0.785	0.785	0.783
A	0.676869388	0.967299093	0.906383673	0.817056944	0.914933852	0.906383673
A	0.924	0.924	0.998006061	1	1	0.998006061
A	0.907754153	0.886246575	0.990114155	0.992073059	0.992073059	0.990114155
A	0.811	0.811	0.926	0.886125969	0.926	0.932181028
A	0.884	1	0.998007463	1	1	0.998007463
A	0.722325243	0.986202885	0.898896552	0.9067897	0.9067897	0.898896552
A	0.648	1	0.787	0.787	0.787	0.787
A	0.92	0.92	0.9980125	0.9980125	0.9980125	0.9980125
A	0.847	0.998019608	0.996078431	0.998019608	0.998019608	0.996078431
A	0.78	0.855	0.872520539	0.861454545	0.884121212	0.872520539
A	0.733	0.942398734	0.877794355	0.884118852	0.884118852	0.877794355
A	0.621609524	0.984141176	0.907940323	0.91273871	0.91273871	0.907940323
A	0.724	0.8	0.992115108	1	1	0.992115108
A	0.733430799	0.733430799	0.778335365	0.779193517	0.778414323	0.778335365
A	0.670331507	0.868905914	0.921747619	0.939288462	0.939288462	0.921747619
A	0.743634085	0.986358844	0.942	0.942	0.942	0.942
A	0.791	0.791	0.828488676	0.799317073	0.832	0.828488676
A	0.841	0.841	0.998006289	0.998006289	0.998006289	0.998006289
A	0.585	0.585	0.969185586	0.988157868	0.988157868	0.969185586
A	0.726	0.726	0.849	0.849	0.849	0.849
A	0.585	0.585	0.719028986	0.719028986	0.719028986	0.719028986
A	0.875	1	1	1	1	1
A	0.615	0.615	0.872402299	0.873927203	0.873927203	0.872402299
A	0.875	1	0.875	1	0.875	0.875
A	0.587	0.587	0.85447541	0.856	0.856	0.85447541
A	0.880833922	0.880833922	0.998005988	1	1	0.998005988
A	0.893395522	0.893395522	0.887052239	0.890208955	0.890208955	0.887052239
A	0.871	0.871	0.998007752	1	1	0.998007752
A	0.74	0.74	0.855418398	0.85384273	0.85384273	0.855418398
A	0.834	1	1	1	1	1
A	0.785	0.785	0.90444186	0.90444186	0.90444186	0.90444186
A	0.804	0.945	1	1	1	1
A	0.865	1	1	1	1	1
A	0.699345455	0.699345455	0.670582505	0.737878309	0.737878309	0.670582505
