	MSG	iNP-MSG	Qcut	iNP-Qcut	SC	iNP-SC
C	0.562268791	0.909738413	0.823960373	0.929886344	0.799558397	0.884147701
C	0.58	0.978775511	0.918559422	0.927712702	0.840489362	0.940987993
C	0.567560502	0.948517333	0.912354507	0.872582341	0.843035714	0.909151766
C	0.574725885	0.897197888	0.799647619	0.933778886	0.709282222	0.927595547
C	0.510480769	0.956117447	0.833995817	0.924085344	0.820106332	0.928914201
C	0.578	0.938547729	0.8876849	0.900379123	0.792	0.926898217
C	0.532696162	0.952625241	0.874122893	0.91085221	0.850111429	0.876885265
C	0.560284522	0.920325156	0.821322764	0.922365608	0.788570175	0.939192392
C	0.557976866	0.895926953	0.782272396	0.845736359	0.738720581	0.836259557
C	0.53269313	0.906447571	0.823628178	0.926522405	0.834101149	0.92002539
C	0.503836695	0.887335919	0.727385844	0.872417438	0.700672353	0.845816788
C	0.634634635	0.914845574	0.86225384	0.833748048	0.784	0.885672077
C	0.529446809	0.90339163	0.826790238	0.944111749	0.738078194	0.944801753
C	0.566	0.909557937	0.922010569	0.886619718	0.787	0.925069096
C	0.571	0.901189351	0.905530032	0.926646584	0.81016	0.926978649
C	0.487641791	0.923290699	0.847603743	0.883679399	0.712	0.929190718
C	0.56227907	0.897341879	0.862536174	0.938641667	0.83469863	0.883061795
C	0.64	0.944273668	0.920488178	0.917679182	0.873	0.942489764
C	0.647551746	0.889111897	0.797816012	0.863109437	0.801303448	0.846449022
C	0.576576577	0.938240722	0.873463262	0.89292695	0.85554902	0.923206786
C	0.545636911	0.948622509	0.878295932	0.911834961	0.831	0.938586353
C	0.564564565	0.881000361	0.90565254	0.880823852	0.879262987	0.928675563
C	0.623871615	0.858900673	0.831947965	0.934609968	0.821731183	0.93115266
C	0.583746269	0.952467808	0.851340389	0.886223947	0.823125	0.893704282
C	0.617617618	0.854521164	0.816719898	0.874580586	0.76276495	0.900548811
C	0.587	0.944958333	0.888	0.952608333	0.857	0.952083333
C	0.568261523	0.886984348	0.827694411	0.850241611	0.757722222	0.844370659
C	0.764	1	1	1	1	1
C	0.683	0.998020408	0.998020408	1	1	0.998020408
C	0.724	0.954	0.953	1	0.953	1
C	0.814	1	0.998022727	1	1	0.998022727
C	0.762	1	1	1	1	1
C	0.817	1	1	1	0.954	1
C	0.755	1	1	1	1	1
C	0.791	0.998017857	0.996071429	1	1	0.996071429
C	0.723	1	0.952	1	0.952	1
C	0.805	1	0.957	0.957	0.957	0.957
C	0.679	0.998018519	0.973	0.972210526	0.973	0.971578947
C	0.754	0.986	1	1	1	1
C	0.594	1	1	1	1	1
C	0.773	1	0.962	0.962	0.962	0.973148148
C	0.671	0.915	0.998018519	1	1	0.998018519
C	0.781	0.98	0.99805	0.99805	0.99805	0.99805
C	0.672	0.998022727	0.947	1	1	0.998018868
C	0.751	0.998027027	1	0.947108108	0.914	1
C	0.677	0.976	0.96990625	0.981621622	0.973	0.979675676
C	0.759	0.9962	0.98	0.957	0.957	0.98
C	0.737	0.97	1	1	1	1
C	0.755409084	0.925920619	0.868892391	0.99713426	0.868142857	0.998280556
C	0.618	1	1	1	1	1
C	0.766	1	1	1	1	1
C	0.699	0.9964	0.974	0.974	0.974	0.974
C	0.767	0.978	1	1	1	1
C	0.721	0.998027027	1	1	1	1
C	0.610610611	0.985433513	0.892579654	0.934565352	0.91909375	0.943405314
C	0.777	0.961	0.954066667	0.988266667	0.956	0.998066667
C	0.717717718	0.957528958	0.950986701	0.981552982	0.952	0.974049764
C	0.786	0.928	0.964821257	0.963	0.963	0.964821257
C	0.622725275	0.929019608	0.90353271	0.996235294	0.908	0.99254902
C	0.664	0.971310345	1	1	1	1
C	0.747	0.973	0.977017857	0.979	0.979	0.977017857
C	0.701	0.929	0.985102564	0.987	0.987	0.985102564
C	0.742	0.936	1	0.979	0.979	1
C	0.849	1	1	1	1	1
C	0.755	1	1	1	1	1
C	0.789	1	1	1	1	1
C	0.662	1	0.928	1	0.928	1
C	0.844	1	1	1	1	1
C	0.735	0.998015873	1	1	1	1
C	0.881	1	1	1	1	1
C	0.801	0.933	1	1	1	1
C	0.856	1	1	1	1	1
C	0.79	1	0.998016949	1	1	0.998016949
C	0.707	1	1	1	1	1
C	0.742	0.948	1	1	1	1
C	0.868	1	1	1	1	1
C	0.84	1	1	1	1	1
C	0.866	0.94	1	1	1	1
C	0.702	0.949	1	1	1	1
C	0.874	1	1	1	1	1
C	0.857	1	1	1	1	1
C	0.807	0.961	1	1	1	1
C	0.694	0.964	1	1	1	1
C	0.697	0.998058824	0.996235294	0.998058824	0.998058824	0.996235294
C	0.757	0.976	1	1	1	1
C	0.676	1	1	1	1	1
C	0.793	0.955	0.976022222	0.976	0.976	0.996166667
C	0.687	0.957	1	1	1	1
C	0.796	1	1	1	1	1
C	0.683	0.923358025	1	1	1	1
C	0.713	1	1	1	1	1
C	0.782	1	1	0.955	0.955	1
C	0.866	1	1	1	1	1
C	0.721221221	0.983483483	0.987487487	0.983483483	0.9825	0.987487487
C	0.85	1	1	1	1	1
C	0.633	0.975	1	1	1	1
C	0.896	0.896	1	1	1	1
C	0.591	1	0.899	1	0.899	1
C	0.76	0.988066017	0.969	0.992	0.992	0.992
C	0.915	1	1	1	1	1
C	0.896	1	1	1	1	1
C	0.9	1	1	1	1	1
C	0.82	1	1	1	1	1
C	0.919	1	1	1	1	1
C	0.813	1	1	1	1	1
C	0.911	1	1	1	1	1
C	0.913	1	1	1	1	1
C	0.899	1	1	1	1	1
C	0.862	0.934	1	1	1	1
C	0.901	0.901	1	1	1	1
C	0.787	0.956	1	1	1	1
C	0.906	0.906	1	1	1	1
C	0.808	1	1	1	1	1
C	0.761	1	1	1	1	1
C	0.759	1	0.827	1	0.827	1
C	0.894	1	1	1	1	1
C	0.927	1	1	1	1	1
C	0.614	1	1	1	1	1
C	0.940940941	0.940940941	0.994994995	0.994994995	0.994	0.994994995
C	0.784	1	1	1	1	1
C	0.777	1	1	1	1	1
C	0.973	0.973	1	1	1	1
C	0.927	0.927	1	1	1	1
C	0.752	1	1	1	1	1
C	0.766	1	1	1	1	1
C	0.803	1	1	1	1	1
C	0.793	1	1	1	1	1
C	0.879	1	1	1	1	1
C	0.909	1	1	1	1	1
C	0.762	0.928	1	1	1	1
C	0.727	0.983	0.998058824	0.996235294	0.996235294	0.998058824
C	0.84	0.84	1	1	1	1
C	0.756	1	1	1	1	1
C	0.706	0.928	1	1	1	1
C	0.844	1	1	1	1	1
C	0.883	1	1	1	1	1
C	1	1	1	1	1	1
C	1	1	1	1	1	1
C	0.883	1	1	1	1	1
C	0.883	1	1	1	1	1
C	0.804	0.914	1	1	1	1
C	1	1	1	1	1	1
C	0.901	1	1	1	1	1
C	1	1	1	1	1	1
C	0.902	0.902	1	1	1	1
C	0.827	1	1	1	1	1
C	0.825	1	1	1	1	1
C	0.887	1	1	1	1	1
C	0.874	1	1	1	1	1
C	1	1	1	1	1	1
C	0.752	1	1	1	1	1
C	0.885	1	1	1	1	1
C	0.923	1	1	1	1	1
C	1	1	1	1	1	1
C	0.697	1	1	1	1	1
C	0.87	0.87	1	1	1	1
C	0.92	1	1	1	1	1
C	0.912	1	1	1	1	1
C	0.923	1	1	1	1	1
C	0.821	1	1	1	1	1
C	0.806	1	1	1	1	1
C	0.742	1	1	1	1	1
C	0.936	0.936	1	1	1	1
C	0.696	1	0.801	1	0.801	1
C	0.927	0.927	1	1	1	1
C	0.95	0.95	1	1	1	1
C	0.787	0.926	1	1	1	1
C	0.85	1	1	1	1	1
C	0.89	1	1	1	1	1
C	0.908	1	1	1	1	1
C	0.851	0.966	0.966	0.966	0.966	0.966
C	1	1	1	1	1	1
C	0.838	1	1	1	1	1
C	1	1	1	1	1	1
C	0.874	1	1	1	1	1
C	1	1	1	1	1	1
C	0.844	1	1	1	1	1
C	1	1	1	1	1	1
C	0.859	1	1	1	1	1
C	0.836	1	1	1	1	1
C	0.898	1	1	1	1	1
C	0.844	1	1	1	1	1
C	0.871	0.871	1	1	1	1
C	1	1	1	1	1	1
C	1	1	1	1	1	1
C	0.741	1	1	1	1	1
C	1	1	1	1	1	1
C	0.713	1	1	1	1	1
C	0.835	1	1	1	1	1
C	0.76	1	1	1	1	1
C	0.855711423	0.99498998	0.99498998	0.99498998	0.993	0.99498998
C	0.796	0.796	1	1	1	1
C	1	1	1	1	1	1
C	1	1	1	1	1	1
C	0.738	0.738	1	1	1	1
C	1	1	1	1	1	1
C	0.891	1	1	1	1	1
C	0.843	1	1	1	1	1
C	0.789	1	1	1	1	1
C	1	1	1	1	1	1
C	0.938	0.938	1	1	1	1
C	0.887	1	1	1	1	1
C	0.723	1	1	1	1	1
C	0.934934935	0.934934935	0.994994995	0.994994995	0.994	0.994994995
C	1	1	1	1	1	1
C	0.857	1	0.857	1	0.857	1
C	0.803	0.803	0.98	0.98	0.98	0.98
